Serial Number,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Title,Edition,Frequency,Place of Publication,Publisher,Year,Series Title,Physical Description,Notes,International Standard Book Number,International Standard Serial Number,Price,Reference Number
88,China Mining Resources Group Limited,,,,,,,,,,"China Mining Resources Group Limited major transaction in relation to the acquisition of the remaining interest in the target company and notice of special general meeting, 31 October 2016 = 中國礦業資源集團有限公司有關收購目標公司餘下權益之主要交易及股東特別大會通告, 二零一六年十月三十一日.",,,Hong Kong,China Mining Resources Group Limited,2016,,"various paging : ill. (some col.), col. charts ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01267
89,China Mining Resources Group Limited,,,,,,,,,,"China Mining Resources Group Limited proposed change of auditors and notice of SGM, 2 December 2016 = 中國礦業資源集團有限公司建議更換核數師及股東特別大會通告, 二零一六年十二月二日.",,,Hong Kong,China Mining Resources Group Limited,2016,,"i, 6, i, 6 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01276
90,China Oil and Gas Group Limited,,,,,,,,,,China Oil and Gas Group Limited interim report 2016 = 中油燃氣集團有限公司2016中期報告.,,,Hong Kong,China Oil and Gas Group Limited,2016,,"40 p. : col. charts, col. maps ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01816
91,China Oil Gangran Energy Group Holdings Limited,,,,,,,,,,China Oil Gangran Energy Group Holdings Limited 2016 interim report = 中油港燃能源集團控股有限公司2016中期業績報告.,,,Hong Kong,China Oil Gangran Energy Group Holdings Limited,2016,,"44, 44 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00062
92,China Qinfa Group Limited,,,,,,,,,,"China Qinfa Group Limited very substantial disposal connected transaction and notice of EGM, 26 October 2016 = 中國秦發集團有限公司非常重大出售事項關連交易及股東特別大會通告, 二零一六年十月二十六日.",,,Hong Kong,China Qinfa Group Limited,2016,,various paging : ill. ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01254
93,China Regenerative Medicine International Limited,,,,,,,,,,China Regenerative Medicine International Limited interim report 2016/2017 = 中國再生醫學國際有限公司2016/2017中期報告.,,,Hong Kong,China Regenerative Medicine International Limited,2016,,52 p. ; 21 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01215
94,China Rongzhong Financial Holdings Company Limited,,,,,,,,,,China Rongzhong Financial Holdings Company Limited interim report 2016/2017 = 中國融眾金融控股有限公司2016/2017中期報告.,,,Hong Kong,China Rongzhong Financial Holdings Company Limited,2016,,"40, 40 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00040
95,China Sandi Holdings Limited,,,,,,,,,,China Sandi Holdings Limited 2016-2017 interim report = 中國三迪控股有限公司2016-2017中期報告.,,,Hong Kong,China Sandi Holdings Limited,2016,,76 p. ; 21 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-00061
96,China Smartpay Group Holdings Limited,,,,,,,,,,China Smartpay Group Holdings Limited interim report 2016 = 中國支付通集團控股有限公司中期業績報告2016.,,,Hong Kong,China Smartpay Group Holdings Limited,2016,,"68, 68 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01234
97,China Soft Power Technology Holdings Limited,,,,,,,,,,China Soft Power Technology Holdings Limited 2016/17 interim report = 中國軟實力科技集團有限公司2016/17中期報告.,,,Hong Kong,China Soft Power Technology Holdings Limited,2016,,36 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01490
98,China Trends Holdings Limited,,,,,,,,,,China Trends Holdings Limited third quarterly report 2016 = 中國趨勢控股有限公司二零一六年第三季度業績報告.,,,Hong Kong,China Trends Holdings Limited,2016,,"16, 16 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01212
99,China Water Affairs Group Limited,,,,,,,,,,China Water Affairs Group Limited interim report 2016/17 = 中國水務集團有限公司中期報告2016/17.,,,Hong Kong,China Water Affairs Group Limited,2016,,"62, 62 p. : col. ill., col. charts ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01449
100,China Yu Tian Holdings Limited,,,,,,,,,,China Yu Tian Holdings Limited third quarterly report 2016 = 中國宇天控股有限公司第三季度業績報告2016.,,,Hong Kong,China Yu Tian Holdings Limited,2016,,"30, 30 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00063
101,"McFadden, Danny","Wilde, Derrick",,,,,,,,,"CHINA'S international business transactions and laws : key tools for China / edited by Danny McFadden, Derrick Wilde.",,,Hong Kong,Wolters Kluwer Hong Kong Limited,2016,Legal series ; 2007H,"xlvi, 640 p. : ill. ; 23 cm.",Includes bibliographical references and index,978-988-13955-7-3 (pbk.),,$1500.00,2017-02045
102,Chinese Estates Holdings Limited,,,,,,,,,,"Chinese Estates Holdings Limited major and connected transactions, disposal of subsidiaries and notice of special general meeting, 28 December 2016 = 華人置業集團主要及關連交易 出售附屬公司及股東特別大會通告, 二零一六年十二月二十八日.",,,Hong Kong,Chinese Estates Holdings Limited,2016,,various paging ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-00567
103,Chinese Food and Beverage Group Limited,,,,,,,,,,Chinese Food and Beverage Group Limited 2016 third quarterly report = 華人飲食集團有限公司2016第三季度業績報告.,,,Hong Kong,Chinese Food and Beverage Group Limited,2016,,"24, 24 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01223
104,Chinese Food and Beverage Group Limited,,,,,,,,,,"Chinese Food and Beverage Group Limited (I) Proposed share consolidation on the basis of every two issued and unissued existing shares into one consolidated share; (II) Proposed rights issue on the basis of nine rights shares for every one consolidated share held on the record date; (III) Proposed increase in authorised share capital; and (IV) Notice of extraordinary general meeting, 26 October 2016 = 華人飲食集團有限公司 (I) 建議按每兩股已發行及未發行現有股份合併為一股合併股份之基準進行股份合併; (II) 建議按於記錄日期每持有一股合併股份獲發九股供股股份之基準進行供股; (III) 建議增加法定股本; 及 (IV) 股東特別大會通告, 二零一六年十月二十六日.",,,Hong Kong,Chinese Food and Beverage Group Limited,2016,,various paging : charts ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01266
105,Chinese Food and Beverage Group Limited,,,,,,,,,,"Chinese Food and Beverage Group Limited rights issue on the basis of nine rights shares for every one consolidated share held on the record date at HK$0.13 per rights share, 24 November 2016 = 華人飲食集團有限公司按於記錄日期每持有一股合併股份獲發九股供股股份之基準以每股供股股份0.13港元之價格進行供股, 二零一六年十一月二十四日.",,,Hong Kong,Chinese Food and Beverage Group Limited,2016,,various paging ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01272
106,Chinese Medicine Council of Hong Kong,,,,,,,,,,Chinese Medicine Council of Hong Kong 2015 annual report = 香港中醫藥管理委員會2015年報.,,,Hong Kong,Chinese Medicine Council of Hong Kong,2016,,134 p. : col. ill. ; 30 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01508
107,Chinese People Holdings Company Limited,,,,,,,,,,Chinese People Holdings Company Limited 2016 interim report = 中民控股有限公司2016中期報告.,,,Hong Kong,Chinese People Holdings Company Limited,2016,,60 p. : charts ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01482
108,Chinese Strategic Holdings Limited,,,,,,,,,,Chinese Strategic Holdings Limited 2016 third quarterly report = 華人策略控股有限公司二零一六年第三季度報告.,,,Hong Kong,Chinese Strategic Holdings Limited,2016,,"18, 18 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01241
109,Chinese University of Hong Kong. Hong Kong Institute of Asia-Pacific Studies,,,,,,,,,,"HKIAPS at 25 : the twenty-fifth anniversary commemorative volume of the Hong Kong Institute of Asia-Pacific Studies, 1990-2015.",,,Hong Kong,The Chinese University of Hong Kong. Hong Kong Institute of Asia-Pacific Studies,2016,,92 p. : col. ill. ; 30 cm.,,978-962-441-984-9 (pbk.),,Unpriced,2017-02784
110,Ching Lee Holdings Limited,,,,,,,,,,Ching Lee Holdings Limited 2016 third quarterly report = 正利控股有限公司2016第三季度業績報告.,,,Hong Kong,Ching Lee Holdings Limited,2017,,"14, 14 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01821
111,"Ching, Megan",,,,,,,,,,Millionaire / written & illustrated by Megan Ching.,,,Hong Kong,KidsEdge Education Centre,2017,,26 p. : col. ill. ; 24 cm.,,978-988-14872-0-9 (pbk.),,$130.00,2017-01577
112,"Chinney Investments, Limited",,,,,,,,,,"Chinney Investments, Limited interim report 2016/17 = 建業實業有限公司2016/17中期報告.",,,Hong Kong,"Chinney Investments, Limited",2016,,"38, 38 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01499
113,"Chiu, Ethan Kin Hei",,,,,,,,,,Baby crab learns to walk / written & illustrated by Ethan Kin Hei Chiu.,,,Hong Kong,KidsEdge Education Centre,2017,,26 p. : col. ill. ; 23 cm.,,978-988-14871-7-9 (pbk.),,$130.00,2017-01579
114,"Chiu, Sophia Yin Ting",,,,,,,,,,The naughty spider / written & illustrated by Sophia Yin Ting Chiu.,,,Hong Kong,KidsEdge Education Centre,2017,,26 p. : col. ill. ; 23 cm.,,978-988-14872-2-3 (pbk.),,$130.00,2017-01825
115,"Cho, Elmo Yung Lap",,,,,,,,,,Denizen's past and future / written & illustrated by Elmo Yung Lap Cho.,,,Hong Kong,KidsEdge Education Centre,2017,,26 p. : col. ill. ; 23 cm.,,978-988-14871-6-2 (pbk.),,$130.00,2017-01828
116,Chong Kin Group Holdings Limited,,,,,,,,,,Chong Kin Group Holdings Limited interim report 2016 = 創建集團(控股)有限公司中期報告2016.,,,Hong Kong,Chong Kin Group Holdings Limited,2016,,"32, 32 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01452
117,"Chow, Esther Bun-ching","Chan, Conrad Hoi-cheong",,,,,,,,,"Living Cantonese for intermediate learners / Esther Bun-ching Chow, Conrad Hoi-cheong Chan.",Jyutping version,,Hong Kong,Greenwood Press,2017,,"iv, 313 p. : ill. ; 23 cm. + 1 CD-ROM","Includes index, Text partially in Chinese",978-962-279-333-0 (pbk.),,$275.00,2017-02577
118,Chow Tai Fook Jewellery Group Limited,,,,,,,,,,Chow Tai Fook Jewellery Group Limited interim report 2016/2017 = 周大福珠寶集團有限公司2016/2017中期報告.,,,Hong Kong,Chow Tai Fook Jewellery Group Limited,2016,,"84 p. : ill. (chiefly col.), col. charts ; 29 cm.","Glossary, Text in Chinese and English",,,Unpriced (pbk.),2017-00051
119,Christian Family Service Centre,,,,,,,,,,Christian Family Service Centre 2015-2016 annual report = 基督教家庭服務中心2015-2016年報.,,,Hong Kong,Christian Family Service Centre,2016,,154 p. : col. ill. ; 30 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-00568
120,"Chu, Yiu Wai",,,,,,,,,,Hong Kong Cantopop : a concise history / Yiu-wai Chu.,,,Hong Kong,Hong Kong University Press,2017,,"ix, 246 p. ; 24 cm.",Includes bibliographical references and index,"978-988-8390-57-1, 978-988-8390-58-8 (pbk.)",,$700.00; $275.00,2017-01806
121,CL Group (Holdings) Limited,,,,,,,,,,CL Group (Holdings) Limited 2016 third quarterly report = 昌利(控股)有限公司2016第三季度業績報告.,,,Hong Kong,CL Group (Holdings) Limited,2017,,"18, 18 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-02362
122,Classified Group (Holdings) Limited,,,,,,,,,,Classified Group (Holdings) Limited third quarterly report 2016 = Classified Group (Holdings) Limited第三季度業績報告2016.,,,Hong Kong,Classified Group (Holdings) Limited,2016,,"16, 16 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01231
123,"Lo, Pui Ling",,,,,,,,,,CLASSROOM new English pre-exam papers. P.1 / Lo Pui Ling.,,,Hong Kong,Classroom Publications Ltd,2016,Exam series,"104, 16 p. : ill. ; 28 cm.",,978-988-231-230-2 (pbk.),,$72.50,2017-00024
124,"Lo, Pui Ling",,,,,,,,,,CLASSROOM new English pre-exam papers. P.2 / Lo Pui Ling.,,,Hong Kong,Classroom Publications Ltd,2016,Exam series,"104, 16 p. : ill. ; 28 cm.",,978-988-231-231-9 (pbk.),,$72.50,2017-00025
125,"Lo, Pui Ling",,,,,,,,,,CLASSROOM new English pre-exam papers. P.3 / Lo Pui Ling.,,,Hong Kong,Classroom Publications Ltd,2016,Exam series,"104, 24 p. : ill. ; 28 cm.",,978-988-231-232-6 (pbk.),,$72.50,2017-00026
126,"Lo, Pui Ling",,,,,,,,,,CLASSROOM new English pre-exam papers. P.4 / Lo Pui Ling.,,,Hong Kong,Classroom Publications Ltd,2016,Exam series,"104, 24 p. : ill. ; 28 cm.",,978-988-231-233-3 (pbk.),,$72.50,2017-00027
127,"Lo, Pui Ling",,,,,,,,,,CLASSROOM new English pre-exam papers. P.5 / Lo Pui Ling.,,,Hong Kong,Classroom Publications Ltd,2016,Exam series,"104, 24 p. : ill. ; 28 cm.",,978-988-231-234-0 (pbk.),,$72.50,2017-00028
128,"Fung, Doris",,,,,,,,,,CLASSROOM primary English read right. P.1 / Doris Fung.,,,Hong Kong,Classroom Publications Ltd,2016,Classroom primary reading series,72 p. : col. ill. ; 28 cm. + vocabulary booklet + answer key,,978-988-231-175-6 (pbk.),,$70.00,2017-00012
129,"Fung, Doris",,,,,,,,,,CLASSROOM primary English read right. P.2 / Doris Fung.,,,Hong Kong,Classroom Publications Ltd,2016,Classroom primary reading series,72 p. : col. ill. ; 28 cm. + vocabulary booklet + answer key,,978-988-231-176-3 (pbk.),,$70.00,2017-00013
130,"Hui, Celia",,,,,,,,,,CLASSROOM primary English read right. P.3 / Celia Hui.,,,Hong Kong,Classroom Publications Ltd,2016,Classroom primary reading series,72 p. : col. ill. ; 28 cm. + vocabulary booklet + answer key,,978-988-231-177-0 (pbk.),,$70.00,2017-00014
131,"Hui, Celia",,,,,,,,,,CLASSROOM primary English read right. P.4 / Celia Hui.,,,Hong Kong,Classroom Publications Ltd,2016,Classroom primary reading series,72 p. : col. ill. ; 28 cm. + vocabulary booklet + answer key,,978-988-231-178-7 (pbk.),,$70.00,2017-00015
132,"Pang, Cora",,,,,,,,,,CLASSROOM primary English read right. P.5 / Cora Pang.,,,Hong Kong,Classroom Publications Ltd,2016,Classroom primary reading series,72 p. : col. ill. ; 28 cm. + vocabulary booklet + answer key,,978-988-231-179-4 (pbk.),,$70.00,2017-00016
133,"Pang, Cora",,,,,,,,,,CLASSROOM primary English read right. P.6 / Cora Pang.,,,Hong Kong,Classroom Publications Ltd,2016,Classroom primary reading series,72 p. : col. ill. ; 28 cm. + vocabulary booklet + answer key,,978-988-231-180-0 (pbk.),,$70.00,2017-00017
134,"Leung, Winnie","Chan, C.",,,,,,,,,"CLASSROOM primary TSA English mock papers. P.1 / Winnie Leung, C. Chan.",,,Hong Kong,Classroom Publications Ltd,2016,,various paging : ill. (some col.) ; 31 cm. + 1 CD-ROM + essential self-study guide + answer key,Text partially in Chinese,978-988-231-146-6 (sp.),,$92.50,2017-00018
135,"Leung, Winnie",,,,,,,,,,CLASSROOM primary TSA English mock papers. P.2 / Winnie Leung.,,,Hong Kong,Classroom Publications Ltd,2016,,various paging : ill. (some col.) ; 31 cm. + 1 CD-ROM + essential self-study guide + answer key + revision cards,Text partially in Chinese,978-988-231-192-3 (sp.),,$92.50,2017-00019
136,"Yum, A.","Lam, Catalyn","Ho, Michele",,,,,,,,"CLASSROOM primary TSA English mock papers. P.3 / A. Yum, Catalyn Lam, Michele Ho.",,,Hong Kong,Classroom Publications Ltd,2016,,various paging : ill. (some col.) ; 31 cm. + 1 CD-ROM + essential self-study guide + answer key + revision cards,Text partially in Chinese,978-988-231-193-0 (sp.),,$92.50,2017-00020
137,"Leung, Winnie",,,,,,,,,,CLASSROOM primary TSA English mock papers. P.4 / Winnie Leung.,,,Hong Kong,Classroom Publications Ltd,2016,,various paging : ill. (some col.) ; 31 cm. + 1 CD-ROM + essential self-study guide + answer key + revision cards,Text partially in Chinese,978-988-231-194-7 (sp.),,$92.50,2017-00021
138,"Lui, Jessica",,,,,,,,,,CLASSROOM primary TSA English mock papers. P.5 / Jessica Lui.,,,Hong Kong,Classroom Publications Ltd,2016,,various paging : ill. (some col.) ; 31 cm. + 1 CD-ROM + essential self-study guide + answer key + revision cards,Text partially in Chinese,978-988-231-195-4 (sp.),,$92.50,2017-00022
139,"Lo, Wai Man",Anastasia,"Ho, Michele",,,,,,,,"CLASSROOM primary TSA English mock papers. P.6 / Lo Wai Man, Anastasia, Michele Ho.",,,Hong Kong,Classroom Publications Ltd,2016,,various paging : ill. (some col.) ; 31 cm. + 1 CD-ROM + essential self-study guide + answer key + revision cards,Text partially in Chinese,978-988-231-196-1 (sp.),,$92.50,2017-00023
140,"Pang, Cora",,,,,,,,,,CLASSROOM reading spotlight for junior secondary students. S.1 / Cora Pang.,,,Hong Kong,Classroom Publications Ltd,2016,,120 p. : col. ill. ; 28 cm. + vocabulary booklet + answer key,,978-988-231-181-7 (pbk.),,$110.00,2017-00029
141,"Pang, Cora",,,,,,,,,,CLASSROOM reading spotlight for junior secondary students. S.2 / Cora Pang.,,,Hong Kong,Classroom Publications Ltd,2016,,120 p. : col. ill. ; 28 cm. + vocabulary booklet + answer key,,978-988-231-182-4 (pbk.),,$110.00,2017-00030
142,"Pang, Cora",,,,,,,,,,CLASSROOM reading spotlight for junior secondary students. S.3 / Cora Pang.,,,Hong Kong,Classroom Publications Ltd,2016,,128 p. : col. ill. ; 28 cm. + vocabulary booklet + answer key,,978-988-231-183-1 (pbk.),,$110.00,2017-00031
143,"Pozzoni, Andy",,,,,,,,,,CLASSROOM secondary TSA English mock papers. S.3 / Andy Pozzoni ... [et al.].,New ed.,,Hong Kong,Classroom Publications Ltd,2016,,various paging : ill. ; 31 cm. + 1 CD-ROM + TSA success guide + answer key,,978-988-231-203-6 (sp.),,$112.00,2017-00032
144,Coastal Greenland Limited,,,,,,,,,,Coastal Greenland Limited interim report 2016 = 沿海綠色家園有限公司二零一六年中期報告.,,,Hong Kong,Coastal Greenland Limited,2016,,"44, 44 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01448
145,Consumer Council,,,,,,,,,,4 x 10 Comic artists x consumer culture = 4x10漫畫家x消費文化 / Consumer Council.,,,Hong Kong,Consumer Council,2016,,117 p. : ill. (some col.) ; 27 cm.,Text in Chinese and English,978-962-85143-2-8 (pbk.),,Unpriced,2017-01434
146,"Cooper, Matthew","Suen, Stephanie",,,,,,,,,The last gibbon / by Matthew Cooper ; illustrated by Stephanie Suen.,,,Hong Kong,Muffin Books,2016,,unpaged : col. ill. ; 21 x 27 cm.,,978-988-14132-1-5 (pbk.),,Unpriced,2017-00033
147,"Bruce, Andrew","McCoy, Gerard","Fairuz, Raihanah",,,,,,,,"CRIMINAL evidence in Hong Kong. Issue 68 / Andrew Bruce, Gerard McCoy ; edited by Raihanah Fairuz.",,,Hong Kong,LexisNexis,2017,,various paging ; 25 cm.,,978-988-8388-95-0 (loose-leaf),,$1695.00,2017-02327
